@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread.value,freetoreadLabel.value,prism:issn,pii,prism:issueIdentifier,prism:isbn,pubmed-id,@_fa,affilname,affiliation-city,affiliation-country,language,year,main_author
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85201665817'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85201665817?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85201665817&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85201665817&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85201665817,SCOPUS_ID:85201665817,2-s2.0-85201665817,From Vision to Reality: The Use of Artificial Intelligence in Different Urban Planning Phases,Othengrafen F.,Urban Planning,21837635,10,,2025-08-01,1 August 2025,10.17645/up.8576,0,Journal,ar,Article,8576,21100856191,1,True,"[{'$': 'all'}, {'$': 'publisherfullgold'}]","[{'$': 'All Open Access'}, {'$': 'Gold'}]",,,,,,true,Technische Universität Dortmund,Dortmund,Germany,en,2025,Othengrafen F.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85212312854'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85212312854?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85212312854&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85212312854&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0160791X24003488'}]",https://api.elsevier.com/content/abstract/scopus_id/85212312854,SCOPUS_ID:85212312854,2-s2.0-85212312854,The impact of data elements on urban sustainable development: Evidence from the big data policy in China,Wu T.,Technology in Society,,81,,2025-06-01,June 2025,10.1016/j.techsoc.2024.102800,0,Journal,ar,Article,102800,18676,0,False,,,0160791X,S0160791X24003488,,,,true,Jiangxi University of Finance and Economics,Nanchang,China,en,2025,Wu T.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85213696301'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85213696301?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85213696301&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85213696301&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0197397524002832'}]",https://api.elsevier.com/content/abstract/scopus_id/85213696301,SCOPUS_ID:85213696301,2-s2.0-85213696301,Block-scale modeling of residential land prices: Incorporating multilevel determinants and explainable artificial intelligence,Zhang P.,Habitat International,,156,,2025-02-01,February 2025,10.1016/j.habitatint.2024.103283,0,Journal,ar,Article,103283,13760,0,False,,,01973975,S0197397524002832,,,,true,Chang'an University,Xi'an,China,en,2025,Zhang P.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85212590825'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85212590825?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85212590825&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85212590825&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2210670724009053'}]",https://api.elsevier.com/content/abstract/scopus_id/85212590825,SCOPUS_ID:85212590825,2-s2.0-85212590825,Exploring temporal and spatial patterns and nonlinear driving mechanism of park perceptions: A multi-source big data study,Zhao X.,Sustainable Cities and Society,,119,,2025-02-01,February 2025,10.1016/j.scs.2024.106083,0,Journal,ar,Article,106083,19700194105,0,False,,,22106707,S2210670724009053,,,,true,South China University of Technology,Guangzhou,China,en,2025,Zhao X.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85212589355'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85212589355?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85212589355&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85212589355&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2210670724009107'}]",https://api.elsevier.com/content/abstract/scopus_id/85212589355,SCOPUS_ID:85212589355,2-s2.0-85212589355,A vehicle trajectory-based parking location recognition and inference method: Considering both travel action and intention,Su Z.,Sustainable Cities and Society,,119,,2025-02-01,February 2025,10.1016/j.scs.2024.106088,0,Journal,ar,Article,106088,19700194105,0,False,,,22106707,S2210670724009107,,,,true,Tsinghua University,Beijing,China,en,2025,Su Z.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85211033234'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85211033234?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85211033234&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85211033234&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0966692324002904'}]",https://api.elsevier.com/content/abstract/scopus_id/85211033234,SCOPUS_ID:85211033234,2-s2.0-85211033234,Assessing urban-scale spatiotemporal heterogeneous metro station coverage using multi-source mobility data,Zhang G.,Journal of Transport Geography,,123,,2025-02-01,February 2025,10.1016/j.jtrangeo.2024.104081,0,Journal,ar,Article,104081,29295,0,False,,,09666923,S0966692324002904,,,,true,College of Civil Engineering and Architecture Zhejiang University,Hangzhou,China,en,2025,Zhang G.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85211498218'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85211498218?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85211498218&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85211498218&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2590252024000448'}]",https://api.elsevier.com/content/abstract/scopus_id/85211498218,SCOPUS_ID:85211498218,2-s2.0-85211498218,Air pollution Dynamics: The role of meteorological factors in PM10 concentration patterns across urban areas,Girotti C.,City and Environment Interactions,25902520,25,,2025-01-01,January 2025,10.1016/j.cacint.2024.100184,0,Journal,ar,Article,100184,21101039477,1,True,,,,S2590252024000448,,,,true,Instituto de Geografia e Ordenamento do Território da Universidade de Lisboa,Lisbon,Portugal,en,2025,Girotti C.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85209096935'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85209096935?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209096935&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85209096935&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85209096935,SCOPUS_ID:85209096935,2-s2.0-85209096935,The Potentials and Limitations of Agent‐Based Models for Urban Digital Twins: Insights From a Surveillance and Behavioral Nudging Simulation,Shtaierman S.,Urban Planning,21837635,10,,2025-01-01,2025,10.17645/up.8613,0,Journal,ar,Article,8613,21100856191,1,True,,,,,,,,true,Technische Universität München,Munich,Germany,en,2025,Shtaierman S.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85208028883'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85208028883?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208028883&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85208028883&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0264275124007522'}]",https://api.elsevier.com/content/abstract/scopus_id/85208028883,SCOPUS_ID:85208028883,2-s2.0-85208028883,Revitalizing urban industrial heritage: Enhancing public trust in government through smart city development and open big data analysis using artificial neural network (ANN) modeling,Yue H.,Cities,,156,,2025-01-01,January 2025,10.1016/j.cities.2024.105538,0,Journal,ar,Article,105538,16956,0,False,,,02642751,S0264275124007522,,,,true,Sichuan Normal University,Chengdu,China,en,2025,Yue H.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85207331285'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85207331285?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85207331285&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85207331285&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0264275124007509'}]",https://api.elsevier.com/content/abstract/scopus_id/85207331285,SCOPUS_ID:85207331285,2-s2.0-85207331285,"Measuring the value of window views using real estate big data and computer vision: A case study in Wuhan, China",Peng C.,Cities,,156,,2025-01-01,January 2025,10.1016/j.cities.2024.105536,0,Journal,ar,Article,105536,16956,0,False,,,02642751,S0264275124007509,,,,true,Huazhong Agricultural University,Wuhan,China,en,2025,Peng C.
