author,n_artigos_pub,affiliation,city,country
Bibri S.E.,17,Norges Teknisk-Naturvitenskapelige Universitet,Trondheim,Norway
Li X.,6,Universiti Putra Malaysia,Serdang,Malaysia
Li S.,6,Sun Yat-Sen University,Guangzhou,China
Zhang Y.,6,Research Center for Eco-Environmental Sciences Chinese Academy of Sciences,Beijing,China
Wu J.,5,"College of Agriculture &amp; Biotechnology, Zhejiang University",Hangzhou,China
Yang Y.,5,University of Leeds,Leeds,United Kingdom
Long Y.,4,Tsinghua University,Beijing,China
de Vries W.T.,4,Technische Universität München,Munich,Germany
Yang W.,4,Chongqing University,Chongqing,China
Liu Y.,4,Liaocheng University,Liaocheng,China
Song Y.,4,Texas A&amp;M University,College Station,United States
He Q.,3,Huazhong University of Science and Technology,Wuhan,China
Wang Y.,3,"Key Laboratory of Geographic Information Science, Ministry of Education",Shanghai,China
Ye Y.,3,Beijing Forestry University,Beijing,China
Gao F.,3,Guangzhou Collaborative Innovation Center of Natural Resources Planning and Marine Technology,Guangzhou,China
Sun H.,3,Suzhou University of Science and Technology,Suzhou,China
Kourtit K.,3,Mohammed VI Polytechnic University,Ben Guerir,Morocco
Zhang W.,3,Nanjing University,Nanjing,China
Li J.,3,UNSW Sydney,Sydney,Australia
Batty M.,3,University College London,London,United Kingdom
Angel A.,3,Technion - Israel Institute of Technology,Haifa,Israel
Liu X.,3,Beijing Jiaotong University,Beijing,China
Liu S.,3,Nanjing Normal University,Nanjing,China
Zhang X.,3,Planning Research Center of Xiongan New Area,Hebei,China
Yao Y.,3,China University of Geosciences,Wuhan,China
Zhang Z.,3,Xi'an Shiyou University,Xi'an,China
Wang J.,3,National University of Singapore,Singapore City,Singapore
Kontokosta C.E.,3,New York University,New York,United States
Wey W.M.,2,National Taipei University,Taipei,Taiwan
Lv Y.,2,Shandong Jianzhu University,Jinan,China
Wei S.,2,Northwest Normal University China,Lanzhou,China
Zhang S.,2,Xinjiang Institute of Ecology and Geography Chinese Academy of Sciences,Urumqi,China
Liu D.,2,Chinese University of Hong Kong,Hong Kong,Hong Kong
Yigitcanlar T.,2,Queensland University of Technology,Brisbane,Australia
Zeng L.,2,Panzhihua University,Panzhihua,China
Thakuriah P.(.,2,University of Glasgow,Glasgow,United Kingdom
Charitonidou M.,2,Leeds Beckett University,Leeds,United Kingdom
Guo D.,2,Renmin University of China,Beijing,China
Li C.,2,Peking University,Beijing,China
Li W.,2,Research Center for Eco-Environmental Sciences Chinese Academy of Sciences,Beijing,China
Wu W.,2,East China Institute of Technology,Fuzhou,China
Ren M.,2,Ministry of Natural Resources of the People's Republic of China,Beijing,China
Hao J.,2,University of Jinan,Jinan,China
Chen Z.,2,Huazhong University of Science and Technology,Wuhan,China
Zhao P.,2,Peking University,Beijing,China
Liu Q.,2,Central South University,Changsha,China
Duan J.,2,University College London,London,United Kingdom
Hu Q.,2,Renmin University of China,Beijing,China
Li L.,2,Central University of Finance and Economics,Beijing,China
Xu J.,2,Hefei University of Technology,Hefei,China
Wang Z.,2,Shenyang Jianzhu University,Shenyang,China
Fang L.,2,Florida State University,Tallahassee,United States
Serok N.,2,Tel Aviv University,Tel Aviv-Yafo,Israel
Liu K.,2,Fuzhou University,Fuzhou,China
Zhang P.,2,Chang'an University,Xi'an,China
Li Y.,2,College of Social Sciences,Glasgow,United Kingdom
Zhu Y.,2,Beijing Union University,Beijing,China
Zhao X.,2,South China University of Technology,Guangzhou,China
Geertman S.,2,Universiteit Utrecht,Utrecht,Netherlands
Li Z.,2,Tongji University,Shanghai,China
Goel R.K.,2,Noida Institute of Engineering &amp; Technology,Greater Noida,India
Gao L.,2,Hunan University,Changsha,China
Fang C.,2,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",Beijing,China
Taylor L.,2,"Tilburg Institute for Law, Technology, and Society",Tilburg,Netherlands
Xue B.,2,"Institute of Applied Ecology, Chinese Academy of Sciences",Shenyang,China
Allam Z.,2,Université Paris 1 Panthéon-Sorbonne,Paris,France
Wang S.,2,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",Beijing,China
Lin A.,2,Central China Normal University,Wuhan,China
Sun Y.,2,Peking University,Beijing,China
Liu H.,2,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",Beijing,China
Huang B.,2,Chinese University of Hong Kong,Hong Kong,Hong Kong
Chen M.,2,University College London,London,United Kingdom
Huang J.,2,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",Beijing,China
Gong Z.,2,Peking University,Beijing,China
Sanchez-Sepulveda M.V.,2,Universitat Ramon Llull,Barcelona,Spain
Guo Y.,2,Central South University,Changsha,China
Wang W.,2,Changsha University of Science and Technology,Changsha,China
Wang C.,2,Beijing Forestry University,Beijing,China
Ma L.,2,Nanjing University,Nanjing,China
Kim K.,2,University College London,London,United Kingdom
